t_s,mode,wall,x_m,y_m,z_m,nose_x,nose_z,roll_rad,pitch_rad,heading_rad,desired_heading_rad,heading_error_rad,clearance_m,vx_mps,vy_mps,vz_mps,wx_radps,wy_radps,wz_radps,left_effort,right_effort,wp_x,wp_z
0.384,self_right,none,-0.06858202927770349,0.7434578324695418,-6.0455464011542555,-0.053742963757754295,-5.625808623328034,1.450798372153989,-0.12984123007787726,0.03533846307476753,-1.5189458424464313,-1.5542843055211988,4.374191376671966,-0.2228431158420096,0.20250126464434468,0.35376062231716743,-0.16974048360960237,-0.9429152942403018,0.089236678871764,0.1263153094939394,0.006685795265314053,-4.8,-5.8
0.4,self_right,none,-0.07218329785330553,0.7466336868779313,-6.039898368378278,-0.05656830451140839,-5.620188740203116,1.4476923581635972,-0.1445641413733752,0.03718712588656345,-1.52009791587584,-1.5572850417624036,4.379811259796884,-0.22507928597512764,0.19849090052434515,0.3530020484985847,-0.15881888596118093,-0.9265658909200433,0.08898959459058772,0.13137223386950853,0.006069848466390728,-4.8,-5.8
0.416,self_right,none,-0.0758106052600292,0.7497466418103637,-6.034263483263121,-0.05940550983043612,-5.614583995029605,1.4447297082528754,-0.15909458505504046,0.03906968985815694,-1.5212488319173114,-1.5603185217754683,4.385416004970395,-0.22670671292022931,0.1945596832770253,0.35218031969728086,-0.14828881054950754,-0.9144862144145102,0.08965381502831474,0.1359393655809948,0.005471944635520558,-4.8,-5.8
0.432,self_right,none,-0.07945344232340332,0.7527987812664335,-6.028639804458254,-0.06224032814824264,-5.608992680435709,1.4419014318897696,-0.1734904754013596,0.04099508691848573,-1.5223991210379737,-1.5633942079564593,4.391007319564291,-0.22767731646088296,0.190758716004365,0.3514799253042044,-0.13818393088976483,-0.9060151446147938,0.09107676920331943,0.13996209359965014,0.004894095532207707,-4.8,-5.8
0.448,self_right,none,-0.0830999505951035,0.7557926174102461,-6.023022762994088,-0.06505753278539758,-5.603410476282199,1.4391984003500555,-0.18779929082520547,0.042971361128874834,-1.5235498746482652,-1.56652123577714,4.396589523717801,-0.22790676698126186,0.18711475898828434,0.3510650915103954,-0.1285131857648635,-0.9005037511726315,0.09316401948165162,0.14338580689672678,0.0043383129159563615,-4.8,-5.8
0.464,self_right,none,-0.08673690352260503,0.7587308813041479,-6.017405739282811,-0.06784067202963608,-5.597831035046052,1.4366115237274093,-0.20205925994936996,0.04500621962372812,-1.5247026239515,-1.5697088435752282,4.402168964953948,-0.22730955796884586,0.18364149336886648,0.35106398195477345,-0.11927555780274986,-0.8973765809348632,0.09586094750279218,0.14615589444347676,0.00380660854627071,-4.8,-5.8
0.48,self_right,none,-0.09034997575977742,0.7616163765806157,-6.01178078948801,-0.07057221784558707,-5.592246714242759,1.4341318096640523,-0.21630065955211364,0.04710732050236473,-1.5258591836423325,-1.5729665041446972,4.407753285757241,-0.22581701482327451,0.18034345477923586,0.3515593621750523,-0.1104661843241206,-0.8961389754932796,0.09913474525171805,0.1482177452111521,0.0033009941826549253,-4.8,-5.8
0.496,self_right,none,-0.09393217517545356,0.764469802641722,-6.006078301129007,-0.07327643093456765,-5.5865865369311205,1.4317045883608321,-0.22991196489127022,0.04920019050695376,-1.5270343714050836,-1.5762345619120373,4.4134134630688795,-0.22388746347975907,0.17833912881914774,0.3564055224377327,-0.1068239063840118,-0.8568551683947132,0.0972381641531589,0.14951674817100497,0.0028234815846132086,-4.8,-5.8
0.512,self_right,none,-0.09747047215644758,0.7673099183361987,-6.00021551512288,-0.07596118231917595,-5.580766650002594,1.429328127932684,-0.2425389600754027,0.05123500744643619,-1.528245893743693,-1.5794809011901292,4.419233349997406,-0.22114356131212634,0.17750723090478848,0.3664241253828765,-0.10460984377464323,-0.7954516947514614,0.09241449588710594,0.14999829229428738,0.002376082511649728,-4.8,-5.8
0.528,self_right,none,-0.10094729984264429,0.7701422812428316,-5.994152032284616,-0.07861386605695765,-5.574746241033064,1.4270080720574143,-0.25410604408956206,0.05319993349647619,-1.529502543213194,-1.58270247670967,4.425253758966936,-0.21730173038729425,0.17702268166455848,0.3789676773915329,-0.1026330077493839,-0.7293018136391359,0.08716857468899898,0.02397715221254023,0.0019608087232686673,-4.8,-5.8
0.544,self_right,none,-0.10434849366646222,0.7729752385461508,-5.987850348698683,-0.08123478285836594,-5.568486835296909,1.4247294987749275,-0.26436783299913236,0.05506046127926284,-1.5308124753954957,-1.5858729366747586,4.431513164703091,-0.21257461398862085,0.17705983145745463,0.39385522412080276,-0.1027521697416512,-0.6478757493916592,0.07977647367400297,0.023903673220545648,0.0015796719789742174,-4.8,-5.8
0.56,self_right,none,-0.10765671434688356,0.7757934027740199,-5.981357682529153,-0.08378281230193485,-5.56203675912901,1.4225432716383821,-0.27384168167694556,0.056873279057463116,-1.5321658497965587,-1.5890391288540218,4.43796324087099,-0.20676379252633442,0.1761352642418202,0.4057916355956184,-0.09839495291138062,-0.5985612307136848,0.07697263887011545,0.023781471928059128,0.0012346840382705543,-4.8,-5.8
0.576,self_right,none,-0.11087183042259334,0.7786012363322367,-5.974680545966637,-0.08626303358347698,-5.555402109700077,1.420410418600349,-0.2823953769837412,0.058625950574730586,-1.5335613006365139,-1.5921872512112445,4.444597890299923,-0.20094475473186116,0.17548959738855022,0.41732103515731606,-0.09711218980122094,-0.5411164249851549,0.07294361032300173,0.023612560094584862,0.0009278566606618615,-4.8,-5.8
0.592,self_right,none,-0.11399490406193173,0.781401567607124,-5.9678255441344445,-0.0886774978363278,-5.548589299348754,1.4183331383387818,-0.2900557162952687,0.06031610397052509,-1.5349974231114838,-1.595313527082009,4.451410700651246,-0.19519210245864943,0.17502070468045977,0.4284376145119754,-0.09587246611847404,-0.48532987941445666,0.06897896979417256,0.023398949479627028,0.0006612016056523302,-4.8,-5.8
0.608,self_right,none,-0.11702920275753734,0.7841946851761383,-5.960807961891143,-0.09102722453090777,-5.54161361898048,1.416307987097772,-0.2968850160663801,0.06194908792637326,-1.5364709364594302,-1.5984200243858036,4.45838638101952,-0.18964366847535014,0.17456984806339818,0.4385988902063693,-0.09485773591718817,-0.43343789180616965,0.06544705601294312,0.02314265184268981,0.0004367306327461362,-4.8,-5.8
0.624,self_right,none,-0.11997922269339589,0.7869810116404533,-5.953643006916296,-0.0933142594001232,-5.534490314293944,1.4143306118938799,-0.30294278424044074,0.06353073586053871,-1.5379785569352968,-1.6015092927958356,4.465509685706056,-0.18437624599115965,0.17414540401968684,0.4478096859279153,-0.09409911487676685,-0.3852696164313097,0.06234084276982924,0.022845678943277388,0.0002564555014474603,-4.8,-5.8
0.64,self_right,none,-0.12285007883437839,0.7897609480317745,-5.946345177988299,-0.09554121820803642,-5.527233944386417,1.4123968349747802,-0.30828522196858293,0.06506699952711621,-1.5395171397028262,-1.6045841392299425,4.472766055613583,-0.17942850881140598,0.17374602445757484,0.45611430799987973,-0.09356811262484802,-0.34061923108476155,0.05965181570167776,0.022510042540893956,0.0001223879712604914,-4.8,-5.8
0.656,self_right,none,-0.12564711996565106,0.7925347415296382,-5.938928187392373,-0.0977109667908583,-5.519858299013603,1.4105030209648557,-0.3129653783635389,0.06656379399047344,-1.5410837003083169,-1.6076474942987904,4.480141700986397,-0.17481507070454155,0.17336209361648222,0.4635619122453192,-0.09321737811558486,-0.29928901376166717,0.057371301501886025,0.022137754395043677,3.6539801689407625e-05,-4.8,-5.8
0.672,self_right,none,-0.12837572458840715,0.7953024366509992,-5.93140496616052,-0.09982645329259679,-5.512376400179061,1.4086461986895165,-0.31703343569877346,0.06802691090341395,-1.5426754166206968,-1.6107023275241108,4.487623599820939,-0.1705377889222554,0.17298094508506057,0.47020132699080386,-0.0929945777740898,-0.2610983193640914,0.05549015960181691,0.021730826265230752,9.227522384005483e-07,-4.8,-5.8
0.688,self_right,none,-0.13104119445787685,0.7980638692116799,-5.923787701322693,-0.10189062834561523,-5.504800536250379,1.406824075538475,-0.32053698240910283,0.06946195487927195,-1.544289622876836,-1.6137515777561078,4.495199463749621,-0.16659186684185565,0.17258953504254337,0.4760790523642024,-0.09284844824109773,-0.2258832216497095,0.053997847000914964,0.021291269910959358,0.00028409578893551213,-4.8,-5.8
0.704,self_right,none,-0.13366879121115352,0.8008323345705146,-5.916044832543669,-0.10395825546407914,-5.497097002777692,1.4050100352234127,-0.32314366538862227,0.07079850140114635,-1.5459329140174551,-1.6167314154186014,4.502902997222308,-0.16422479707979287,0.17302908492716462,0.4839292986889956,-0.09587578065282538,-0.1700540765627206,0.04767134544343957,0.020821097091733676,0.001383853823590917,-4.8,-5.8
0.72,self_right,none,-0.13628030154333162,0.8035704603303389,-5.908292571278478,-0.10610240935820006,-5.489378147054076,1.4033875833215301,-0.3244063633961773,0.07191409382068976,-1.547580284328887,-1.6194943781495768,4.510621852945924,-0.16321939576113143,0.17113285998901484,0.4845163290744167,-0.09026328544166992,-0.08557178770712744,0.037463306953515456,0.020322319567057896,0.0032601124232558,-4.8,-5.8
0.736,self_right,none,-0.1388393657598234,0.8062741124153907,-5.900565781657571,-0.10827496044214854,-5.481679380436933,1.4019257735296582,-0.32445893417629756,0.07283677876771533,-1.5492244073285444,-1.6220611860962597,4.518320619563067,-0.15994151353073477,0.16897825531574392,0.48292435130670397,-0.0861325706704221,-0.009539088110088481,0.02854388679557903,0.01979694909643619,0.005858260559182243,-4.8,-5.8
0.752,self_right,none,-0.14133850435505466,0.8089482254613101,-5.89286522326908,-0.11046501286402831,-5.474001489432939,1.4006099447678797,-0.32334246600568955,0.07357467458269125,-1.5508650813102987,-1.62443975589299,4.525998510567061,-0.1561961622019543,0.16713206536995928,0.4812848992806973,-0.08285784207043576,0.06389013469119456,0.01994443969490574,0.019246997439372752,0.009123687202622395,-4.8,-5.8
0.768,self_right,none,-0.14377982072515305,0.8115958200547603,-5.885192687082896,-0.11267434499717235,-5.466346116869249,1.3994303560483852,-0.32107985723421495,0.07412852769850636,-1.5525018348560775,-1.626630362554584,4.533653883130751,-0.1525822731311492,0.16547466209063624,0.47953351163649294,-0.08017379160553469,0.13586787184445964,0.01126992043585472,0.018674476355371762,0.01300178132482821,-4.8,-5.8
0.784,self_right,none,-0.14616924765122322,0.8142184723751608,-5.877551920767515,-0.11490909330435317,-5.458716866420091,1.398379150500823,-0.31769838529583583,0.0744978293820963,-1.554133764797206,-1.6286315941793024,4.541283133579909,-0.14933918287938597,0.1639157700250337,0.4775478947113294,-0.07789670253247803,0.20612767251596126,0.0024522932923403094,0.0180813976039374,0.017437931897051912,-4.8,-5.8
0.8,self_right,none,-0.14851333103831968,0.8168168059002097,-5.869948497447169,-0.11717550012734967,-5.451119247807419,1.3974491852855317,-0.3132338774813645,0.0746832892698045,-1.5557595803795927,-1.6304428696493973,4.548880752192581,-0.14650521169352942,0.16239584531555307,0.4752139575216325,-0.07589494658521975,0.27413866700221634,-0.006441969812036883,0.017469772944573848,0.02237752789054542,-4.8,-5.8
0.816,self_right,none,-0.15081685290141178,0.8193894236769318,-5.862393825833962,-0.11947398277146581,-5.443564953271411,1.3966355754970317,-0.30777599955718565,0.07469532095395423,-1.5573767478246678,-1.632072068778622,4.556435046728589,-0.1439701164432569,0.16078861104513276,0.47216697582540906,-0.07373829974995529,0.33655416966382934,-0.014784947281649434,0.01684161413678529,0.027765958276560882,-4.8,-5.8
0.832,self_right,none,-0.15307934147422625,0.8219280653363453,-5.854920914652307,-0.12178386090294879,-5.43608849840947,1.3959418338889684,-0.30163272268452845,0.07458217364906795,-1.558978100980222,-1.6335602746292899,4.56391150159053,-0.14140553580090504,0.15866510371334755,0.4670569488534402,-0.06987798824520362,0.37980268918078913,-0.02007990794493085,0.016198932940075916,0.0335486120263504,-4.8,-5.8
0.848,self_right,none,-0.15530305782202206,0.8244316448973337,-5.847543465521427,-0.12410337384652692,-5.428703902299626,1.395354552770162,-0.2948605321080848,0.07435345262768214,-1.5605606094323188,-1.634914062060001,4.571296097700374,-0.1389822717372379,0.15647372256176847,0.4610905706799977,-0.0664780109048117,0.41948020465432906,-0.025080716271458504,0.015543741113949896,0.039670878111166145,-4.8,-5.8
0.864,self_right,none,-0.1574880216471559,0.8268995576324787,-5.840271201476721,-0.12642831040845495,-5.421421235095239,1.394864810348511,-0.2875099607283839,0.07401926500674388,-1.5621221022310094,-1.6361413672377534,4.578578764904761,-0.13656023907086448,0.15424454594656628,0.45451650279409683,-0.0632908575676213,0.45597596189264034,-0.029674227887108363,0.014878050417911425,0.0460781455022601,-4.8,-5.8
0.88,self_right,none,-0.15963212881634395,0.8293311597614018,-5.833112819451944,-0.12875205389163707,-5.414249570917718,1.3944646092601602,-0.27962988184117266,0.07359039195557988,-1.5636606301530471,-1.637251022108627,4.585750429082282,-0.134006698074254,0.15197513305769852,0.4473988765485664,-0.06026488868295523,0.48939599580074783,-0.03380275658251304,0.014203872611464682,0.05271580317088425,-4.8,-5.8
