t_s,x_m,y_m,z_m
0.016,1.702269403401778e-10,0.659738541159777,-6.196895690408459
0.032,-0.0014775421292550737,0.6617639083716981,-6.1905360618056084
0.048,-0.003856430478882953,0.6650736547019164,-6.183213317313753
0.064,-0.006601081309557196,0.6688628370345919,-6.175810580992478
0.08,-0.009492328752274824,0.6727996744928108,-6.1685299413960495
0.096,-0.012456275227245024,0.6767873804465276,-6.161337787049077
0.112,-0.015457132974635466,0.6808062359744537,-6.154111622890368
0.128,-0.01847939619890794,0.6848308619646521,-6.146838210371321
0.144,-0.021511687641480495,0.6888467698399289,-6.139528373467537
0.16,-0.024506853578177806,0.6928230903080115,-6.1323141485434425
0.176,-0.02747308630041692,0.6967644907113311,-6.1252214356135575
0.192,-0.03043337741958969,0.7006740753874408,-6.118243440670812
0.208,-0.03338026085953511,0.7045463952411081,-6.111391135506496
0.224,-0.036302918056682856,0.7083759680396983,-6.104679988630092
0.24,-0.039195042022209574,0.7121578405795225,-6.0981237495338725
0.256,-0.04210274929010342,0.7158647715255239,-6.091824377419415
0.272,-0.04507459642630401,0.7195115213807707,-6.085743316193741
0.288,-0.048165665923128285,0.7231120518996234,-6.079791096373322
0.304,-0.051358932255599996,0.726653109880314,-6.073958477167727
0.32,-0.05465190880242287,0.7301304240366654,-6.068226019313401
0.336,-0.058036639999667655,0.7335494594950613,-6.062547277929097
0.352,-0.06149693857310166,0.7369139387874863,-6.056875157962418
0.368,-0.06501653942423133,0.7402178122352323,-6.05120657111133
0.384,-0.06858202927770349,0.7434578324695418,-6.0455464011542555
0.4,-0.07218329785330553,0.7466336868779313,-6.039898368378278
0.416,-0.0758106052600292,0.7497466418103637,-6.034263483263121
0.432,-0.07945344232340332,0.7527987812664335,-6.028639804458254
0.448,-0.0830999505951035,0.7557926174102461,-6.023022762994088
0.464,-0.08673690352260503,0.7587308813041479,-6.017405739282811
0.48,-0.09034997575977742,0.7616163765806157,-6.01178078948801
0.496,-0.09393217517545356,0.764469802641722,-6.006078301129007
0.512,-0.09747047215644758,0.7673099183361987,-6.00021551512288
0.528,-0.10094729984264429,0.7701422812428316,-5.994152032284616
0.544,-0.10434849366646222,0.7729752385461508,-5.987850348698683
0.56,-0.10765671434688356,0.7757934027740199,-5.981357682529153
0.576,-0.11087183042259334,0.7786012363322367,-5.974680545966637
0.592,-0.11399490406193173,0.781401567607124,-5.9678255441344445
0.608,-0.11702920275753734,0.7841946851761383,-5.960807961891143
0.624,-0.11997922269339589,0.7869810116404533,-5.953643006916296
0.64,-0.12285007883437839,0.7897609480317745,-5.946345177988299
0.656,-0.12564711996565106,0.7925347415296382,-5.938928187392373
0.672,-0.12837572458840715,0.7953024366509992,-5.93140496616052
0.688,-0.13104119445787685,0.7980638692116799,-5.923787701322693
0.704,-0.13366879121115352,0.8008323345705146,-5.916044832543669
0.72,-0.13628030154333162,0.8035704603303389,-5.908292571278478
0.736,-0.1388393657598234,0.8062741124153907,-5.900565781657571
0.752,-0.14133850435505466,0.8089482254613101,-5.89286522326908
0.768,-0.14377982072515305,0.8115958200547603,-5.885192687082896
0.784,-0.14616924765122322,0.8142184723751608,-5.877551920767515
0.8,-0.14851333103831968,0.8168168059002097,-5.869948497447169
0.816,-0.15081685290141178,0.8193894236769318,-5.862393825833962
0.832,-0.15307934147422625,0.8219280653363453,-5.854920914652307
0.848,-0.15530305782202206,0.8244316448973337,-5.847543465521427
0.864,-0.1574880216471559,0.8268995576324787,-5.840271201476721
0.88,-0.15963212881634395,0.8293311597614018,-5.833112819451944
0.896,-0.16173191351869687,0.8317260014678513,-5.826075770678183
0.912,-0.16378318933239883,0.8340839591443532,-5.819166044235524
0.928,-0.16578277724388596,0.836407295405721,-5.812381951742037
0.944,-0.167730409795503,0.8387104524384248,-5.805683256664486
0.96,-0.16962960081372402,0.8410016757652604,-5.79904371073487
0.976,-0.17147303829032273,0.8432795529005231,-5.792466648968396
0.992,-0.17325810205986938,0.8455429046388424,-5.785954658958468
1.008,-0.1749842579293495,0.8477907774392386,-5.77951004735829
1.024,-0.17665353613404255,0.8500225760845604,-5.773134245440608
1.04,-0.1782703448329522,0.8522380521856376,-5.7668277296290915
1.056,-0.1798414933415687,0.8544372996948317,-5.760589932773612
1.072,-0.18137613386136706,0.856620728794035,-5.7544192523969295
1.088,-0.18288564100147656,0.8587890260045347,-5.748313124930501
1.104,-0.18438339343282387,0.8609430976331239,-5.74226817287149
1.12,-0.1858844476853222,0.863083996129622,-5.736280425087987
1.136,-0.1881040373894844,0.8628957567390327,-5.7303966741323515
1.152,-0.19009384897175224,0.863740141398953,-5.724427535431322
1.168,-0.192026181378077,0.8651512524566426,-5.718509458975468
1.184,-0.19387817879553618,0.8668822665820917,-5.71267834747962
1.2,-0.19575976458595104,0.868819654896023,-5.706841987292443
1.216,-0.19775627346160218,0.8709747902965623,-5.700703038352031
1.232,-0.19982512737538205,0.8732306229610084,-5.694430086297079
1.248,-0.20195511729765572,0.8755225968798128,-5.6881291980989666
1.264,-0.20419632848044436,0.8778625504360592,-5.681711766202595
1.28,-0.20655454935996706,0.8802453332477839,-5.675156157928676
1.296,-0.20901734811583741,0.8826592596617796,-5.668478351107365
1.312,-0.21157670538281587,0.8850954155225534,-5.661695389285921
1.328,-0.21422713963556927,0.8875467708081602,-5.6548240047725935
1.344,-0.21696460269372836,0.8900075000897067,-5.647880116065674
1.36,-0.21978564805240522,0.8924725664960137,-5.640878623919288
1.376,-0.2227683467976182,0.8950088735976379,-5.633620510715453
1.392,-0.2257660539652312,0.8974486411176998,-5.626585314782065
1.408,-0.22881337418967665,0.8998608915081469,-5.619603847875202
1.424,-0.23190637159164496,0.9022564104058964,-5.612655094291262
1.44,-0.23503607384665104,0.9046366966485238,-5.605733115841095
1.456,-0.23819300378378486,0.9070001000397776,-5.59883604601859
1.472,-0.24136843981369835,0.909343426181535,-5.591964550534207
1.488,-0.24455496687146502,0.9116626335372774,-5.5851212403289185
1.504,-0.24774211535374066,0.9139463150996532,-5.578330325730132
1.52,-0.2509253900017996,0.9161874462516413,-5.57160415575896
1.536,-0.2541025410494794,0.9183808289129091,-5.564951176840572
1.552,-0.25727293369055015,0.9205213868984397,-5.558380407676741
1.568,-0.26043784612198323,0.9226047178476928,-5.551899573793691
1.584,-0.26359978376040816,0.9246271576837315,-5.545514795899556
1.6,-0.26676084217237,0.9265857311645036,-5.539230680117545
1.616,-0.26993468071155924,0.9284882822818117,-5.5330206219102545
1.632,-0.2731304599363809,0.9303449017106988,-5.526846675169911
1.648,-0.2763486530704775,0.9321566564519372,-5.520700579825884
1.664,-0.2795877712927682,0.9339219699571537,-5.514586199215358
1.68,-0.28284592767798356,0.9356400326825598,-5.508506988610759
1.696,-0.2861204657244561,0.9373108233289305,-5.502464822527943
1.712,-0.2894074503039893,0.9389350445114582,-5.496459661729511
1.728,-0.29270140902500524,0.9405140835802546,-5.490489393748192
1.744,-0.2959952204366143,0.942049981202065,-5.484549800237555
1.76,-0.2992801251293721,0.9435453872775169,-5.478634641497092
1.776,-0.3025458369854442,0.9450034925446699,-5.472735859354895
1.792,-0.305780740425831,0.9464279294485695,-5.4668439005600336
1.808,-0.3089721608062497,0.9478226395719488,-5.460948160904419
1.824,-0.31210669360612275,0.9491917076699129,-5.455037545936728
1.84,-0.31517057375647356,0.9505391647035982,-5.449101137865658
1.856,-0.31815005965122717,0.9518687646034002,-5.443128950038337
1.872,-0.3210354844382401,0.9531877608624012,-5.437100744848477
1.888,-0.3239210436209941,0.9546180521605939,-5.430651844004108
1.904,-0.32676747034119535,0.9561041094501028,-5.423922800649253
1.92,-0.3295165496705897,0.9575973255973493,-5.417111371614624
1.936,-0.33217069871674154,0.9591156291765925,-5.410167454763682
1.952,-0.334750557197406,0.9606821150249452,-5.403019389358801
1.968,-0.3372662982802303,0.9622979247719081,-5.395665975172918
1.984,-0.3397211601440549,0.9639567998182362,-5.388133728586843
2.0,-0.3421167689586209,0.9656527643877074,-5.380446523492339
2.016,-0.34445397090105484,0.9673802078081061,-5.372625676465184
2.032,-0.3467332034402374,0.9691338177092673,-5.364690522983277
2.048,-0.3489942261934538,0.9709957278562761,-5.3563905421411375
2.064,-0.351098335538464,0.9727923278324337,-5.348310200219298
2.08,-0.35314376063653136,0.9745698985497024,-5.340224754037345
2.096,-0.35514274790358963,0.9763331527814164,-5.332120209989459
2.112,-0.35710274004976733,0.9780824374258994,-5.324001981794806
2.128,-0.3590300707305341,0.979817340062659,-5.31588058666368
2.144,-0.36092973464675177,0.9815370924062294,-5.307768633611629
2.16,-0.362805008620257,0.9832406428547118,-5.299679708197837
2.176,-0.3646536459699394,0.9849230217938433,-5.291639589569498
2.192,-0.36646949173132465,0.9865778321227008,-5.283677871417932
2.208,-0.36824919083155205,0.9882032890807501,-5.275808742457828
2.224,-0.3699882840803895,0.989797575394745,-5.268045600856328
2.24,-0.371681128176574,0.9913594977081763,-5.260399355052033
2.256,-0.37380639319475345,0.9906855144143634,-5.253083145247273
2.272,-0.3757316507436937,0.9911187258071376,-5.245591569517726
2.288,-0.37744863523729816,0.9920715032134549,-5.238276300401451
2.304,-0.37902553044278464,0.9932868201488813,-5.231058281938212
2.32,-0.3805037306556763,0.9946374117629476,-5.223919458600399
2.336,-0.38189971313847415,0.9960561218803471,-5.216856999746272
2.352,-0.383224643738628,0.9975075075356966,-5.20986939190782
2.368,-0.3844860555229268,0.9989726508218968,-5.2029563242670935
2.384,-0.3856909245062137,1.0004414124334993,-5.196117687747601
2.4,-0.3868469815581221,1.0019084009774366,-5.189353092543662
2.416,-0.3879635131563095,1.003370858361482,-5.182661584598123
2.432,-0.38905169814536317,1.0048275273336373,-5.176041542644502
2.448,-0.39012465638446,1.0062780260251694,-5.169490696798871
2.464,-0.39119727549861816,1.0077224820193114,-5.163006246246538
2.48,-0.39228586187668246,1.0091612971846204,-5.15658506371932
2.496,-0.393407646423932,1.0105949759140387,-5.150223981439748
2.512,-0.3945801737040721,1.0120239816491765,-5.143920155409282
2.528,-0.3958206080204279,1.0134486035773063,-5.137671504785828
2.544,-0.39714500063183256,1.0148688244711597,-5.131477221173333
2.56,-0.39867194365393327,1.016391765880959,-5.124960799743911
2.576,-0.4003479115409134,1.0179663080501067,-5.118271492088737
2.592,-0.4021196134712661,1.0195491099024838,-5.111580562377721
2.608,-0.40401275095612116,1.0211410265308358,-5.1048711643573945
