t_s,controller,phase,x,y,z,roll,pitch,yaw,wx,wy,wz,des_yaw,yaw_err,u_yaw_Nm,depth_err,u_depth_Nm,pitch_err,u_pitch_Nm,roll_err,u_roll_Nm,hipR_ref,kneeR_ref,ankleR_ref,hipL_ref,kneeL_ref,ankleL_ref,tau_hipR,tau_kneeR,tau_ankleR,tau_hipL,tau_kneeL,tau_ankleL,wp_idx,wp_x,wp_y,dist_to_wp
0.072,pid_ff,soft_start,0.0008719451725206904,-2.3137848078247834e-09,1.2168595301885854,-2.6970723630838486e-17,-0.038348569421197055,3.14159,4.3283824043455625e-15,-0.5802720868582304,-9.84550516560651e-17,-2.356020070280013,0.7855752368995734,0.0,0.41685953018858535,0.0,0.13665143057880294,0.0,2.6970723630838486e-17,0.0,0.0002695533771446156,-0.0005813900807234789,-0.000496247874336062,0.0002695533771445601,-0.0005813900807234018,-0.000496247874336062,0.0057121523034461465,-0.0012047774884408622,-0.0017377934605285385,0.0057121523034374694,-0.0012047774884417642,-0.001737793460529421,0,2.5,2.5,3.534917402994687
0.076,pid_ff,soft_start,0.0009269475845588712,-2.4597386468981724e-09,1.2182286433693341,-3.4479988232228554e-17,-0.04071205177876142,3.14159,-1.8673363155994084e-15,-0.590028470178855,-1.6686990612289957e-16,-2.356009065809965,0.7855862413696215,0.0,0.4182286433693341,0.0,0.13428794822123857,0.0,3.4479988232228554e-17,0.0,0.0003002552050699657,-0.0006735356050767115,-0.0005884083990955322,0.0003002552050699102,-0.0006735356050766343,-0.0005884083990955322,0.006580546129033761,-0.001099348244464928,-0.0019012003177679257,0.0065805461290267975,-0.0010993482444662064,-0.0019012003177654893,0,2.5,2.5,3.534878517517642
0.080,pid_ff,soft_start,0.0009830659675592243,-2.6086538145085143e-09,1.2196425080286826,-3.180470101622391e-17,-0.04311548692198796,3.14159,1.1197425366289783e-15,-0.6000024407628667,1.7489287571277408e-16,-2.3559978378152877,0.7855974693642986,0.0,0.4196425080286825,0.0,0.13188451307801202,0.0,3.180470101622391e-17,0.0,0.0003341740179305412,-0.000775336279749122,-0.0006902256459399076,0.0003341740179304857,-0.000775336279749045,-0.0006902256459399076,0.007499374000701152,-0.000974520143094175,-0.002065694427139107,0.007499374000695287,-0.0009745201430957946,-0.0020656944271400454,0,2.5,2.5,3.5348388435152414
0.084,pid_ff,soft_start,0.0010403345141955147,-2.7606210457928596e-09,1.2210999799445368,-2.3878389997797256e-17,-0.04555951250413531,3.14159,1.971151814682951e-15,-0.6101355981052992,6.257965231402521e-16,-2.3559863794395404,0.7856089277400464,0.0,0.42109997994453674,0.0,0.12944048749586468,0.0,2.3878389997797256e-17,0.0,0.0003714495901039917,-0.000887211610164003,-0.0008021191885839335,0.00037144959010393624,-0.000887211610163926,-0.0008021191885839335,0.008475308164259381,-0.0008312669949402318,-0.0022309192717509443,0.008475308164271502,-0.0008312669949409418,-0.0022309192717519973,0,2.5,2.5,3.5347983568413106
0.088,pid_ff,soft_start,0.0010987838456168555,-2.9157215955810585e-09,1.2225998956260258,-4.7865372050292397e-17,-0.04804452016559338,3.14159,-4.936003981478565e-15,-0.6203665266100215,-4.9589212705733225e-16,-2.3559746845399645,0.7856206226396214,0.0,0.42259989562602573,0.0,0.1269554798344066,0.0,4.7865372050292397e-17,0.0,0.0004122188590701749,-0.0010095725873514579,-0.0009245000849631054,0.0004122188590701195,-0.0010095725873513807,-0.0009245000849631054,0.009514116607528917,-0.0014264367045574977,-0.00239660845873041,0.00951411660752246,-0.0014264367045519037,-0.002396608458731184,0,2.5,2.5,3.5347570358762233
0.092,pid_ff,soft_start,0.0011584531002373133,-3.0740593218962697e-09,1.2241410770162302,-3.219271342514414e-17,-0.050570666809092446,3.14159,1.453658261672504e-15,-0.6306366254574063,1.2904281807184338e-15,-2.3559627452686507,0.7856325619109352,0.0,0.42414107701623016,0.0,0.12442933319090754,0.0,3.219271342514414e-17,0.0,0.0004566159423478591,-0.0011428217387805968,-0.0010577709280741388,0.0004566159423478037,-0.0011428217387805196,-0.0010577709280741388,0.010577234090558493,-0.010972955914923487,-0.002563746883232987,0.01057723409055095,-0.010972955914923465,-0.002563746883230985,0,2.5,2.5,3.5347148529807457
0.096,pid_ff,soft_start,0.0012195103470856177,-3.2360802086407e-09,1.2257223329891034,-4.3714007977400986e-17,-0.05313794640472426,3.14159,-6.032200865565124e-16,-0.6409052195080714,8.107426265722552e-16,-2.3559505279778197,0.7856447792017667,0.0,0.42572233298910334,0.0,0.12186205359527573,0.0,4.3714007977400986e-17,0.0,0.0005047721544314265,-0.0012873531791917365,-0.0012023258968154444,0.0005047721544313711,-0.0012873531791916593,-0.0012023258968154444,0.011148277682123758,-0.011041295016825953,-0.0027492826865422025,0.011148277682134482,-0.011041295016827416,-0.002749282686539856,0,2.5,2.5,3.534671689372361
0.100,pid_ff,soft_start,0.0012818418477444937,-3.4014824428027636e-09,1.2273424723361692,-1.6479319922693065e-17,-0.05574596748983247,3.14159,5.165763202303555e-15,-0.6510760877959961,3.6390152219505426e-16,-2.3559380554065257,0.7856572517730607,0.0,0.4273424723361692,0.0,0.11925403251016753,0.0,1.6479319922693065e-17,0.0,0.0005568160237275769,-0.0014435526614285969,-0.0013585508068275996,0.0005568160237275215,-0.0014435526614285197,-0.0013585508068275996,0.011757516038898982,-0.011146340501406683,-0.0029741159367843253,0.01175751603890721,-0.011146340501406853,-0.0029741159367792746,0,2.5,2.5,3.534627625491434
0.104,pid_ff,soft_start,0.0013454342633260846,-3.5702306282927274e-09,1.2290003029812069,-1.5221344702201294e-17,-0.05839428966970138,3.14159,-2.1795510236427194e-16,-0.6611370147183036,-4.682791096025242e-16,-2.35592533020491,0.7856699769746758,0.0,0.42900030298120684,0.0,0.11660571033029861,0.0,1.5221344702201294e-17,0.0,0.00061287330949203,-0.0016117976272705008,-0.0015268231613338235,0.0006128733094919747,-0.0016117976272704236,-0.0015268231613338235,0.012472099292698388,-0.011377631390576522,-0.0031893519149442454,0.012472099292688268,-0.011377631390576792,-0.003189351914943246,0,2.5,2.5,3.534582670801163
0.108,pid_ff,soft_start,0.0014102974942046338,-3.742351035592954e-09,1.2306946351614279,-1.0210197771921576e-17,-0.06108232147687569,3.14159,2.648507967240878e-15,-0.6710502858581262,3.686971211227622e-17,-2.3559123503725132,0.7856829568070731,0.0,0.4306946351614278,0.0,0.1139176785231243,0.0,1.0210197771921576e-17,0.0,0.0006730670187662306,-0.0017924572582645733,-0.0017075122019804502,0.0006730670187661753,-0.001792457258264496,-0.0017075122019804502,0.01330547257394322,-0.011741438560688142,-0.0034007953794965946,0.013305472573951036,-0.011741438560688938,-0.0034007953794955178,0,2.5,2.5,3.534536818336987
